max_features,n_estimators,min_samples_split,solver name,r2 score,rmse score
auto,20,0.2,marchrw,0.3670932108917361,1.1999972578753269
auto,20,0.2,mphaseSATm,0.3620742860554921,1.275743352547817
auto,20,0.2,satime11,0.31290140970240765,1.187116042285199
auto,20,0.2,tnm,0.2894488889743636,1.1713828164977511
auto,20,0.2,mxc09,0.38444122758868704,1.2226397382891987
auto,20,0.2,gnoveltyp2,0.3770518110269865,1.1483024602734746
auto,20,0.2,sattime,0.35258760600258054,1.162663029020757
auto,20,0.2,sattimep,0.3067803063658272,1.168774434171448
auto,20,0.2,clasp2,0.41386262375519467,1.1259064140697914
auto,20,0.2,clasp1,0.36005404209342473,1.161019954751249
auto,20,0.2,picosat,0.3300325746798378,1.400010096484616
auto,20,0.2,mphaseSAT,0.3005983191565291,1.332326064034916
auto,20,0.2,sapperlot,0.24664000407843456,1.361187661360802
auto,20,0.2,sol,0.3644571821589401,1.0136048821842696
auto,20,0.4,ebglucose,0.17496600561117082,1.1371674535933833
auto,20,0.4,ebminisat,0.22071359958633718,1.429644751548764
auto,20,0.4,glucose2,0.23806425232781014,1.1181839000971792
auto,20,0.4,glueminisat,0.29938106651612195,1.343947188476793
auto,20,0.4,lingeling,0.244919731125389,1.2308300998082482
auto,20,0.4,lrglshr,0.2508817987957941,1.382214673123164
auto,20,0.4,minisatpsm,0.26135215046610205,1.1611539968510587
auto,20,0.4,mphaseSAT64,0.27193773295494295,1.3295127572959018
auto,20,0.4,precosat,0.13808353683657137,1.4509170145306625
auto,20,0.4,qutersat,0.2674164566649746,1.1589428077270398
auto,20,0.4,rcl,0.2142589060909944,1.1831914869854725
auto,20,0.4,restartsat,0.26071180882393974,1.3875399600691598
auto,20,0.4,cryptominisat2011,0.31058751927988604,1.2671610243912301
auto,20,0.4,spear-sw,0.291357752495888,1.2966989559333595
auto,20,0.4,spear-hw,0.2959435083889028,1.2514902930117058
auto,20,0.4,eagleup,0.3368635513903214,1.035344843311421
auto,20,0.4,sparrow,0.21716802151869097,1.3423115247398196
auto,20,0.4,marchrw,0.4117376783804638,1.156900190992218
auto,20,0.4,mphaseSATm,0.2661601280016819,1.36829239218821
auto,20,0.4,satime11,0.2492557238516958,1.240879643423455
auto,20,0.4,tnm,0.2826863130755358,1.1769438564647214
auto,20,0.4,mxc09,0.3132655460328916,1.2913922123835977
auto,20,0.4,gnoveltyp2,0.3816354881153651,1.144070033147177
auto,20,0.4,sattime,0.255777372700115,1.246564610328632
auto,20,0.4,sattimep,0.2930558055316326,1.1802875426631414
auto,20,0.4,clasp2,0.3126569777165632,1.219240412935892
auto,20,0.4,clasp1,0.2979074536574088,1.2160885942226465
auto,20,0.4,picosat,0.25869325995732184,1.4726627387876272
auto,20,0.4,mphaseSAT,0.2334054323530531,1.3948581902179806
auto,20,0.4,sapperlot,0.23201022431358442,1.3743408182444345
auto,20,0.4,sol,0.32375637141468383,1.0455573979890986
auto,20,0.6,ebglucose,0.11725921216144397,1.1762647888389717
auto,20,0.6,ebminisat,0.09629890342379144,1.539543591359714
